config,type,build_status,binary_count,avg_file_size,enabled_pass_annotations,radiff_pairs,avg_radiff_similarity,lit_tests,lit_pass,lit_fail,avg_exec_time,avg_compile_time
random_001,random,success,31,32517.16,390,31,0.791645,27,27,0,1.668848,4.409900
random_002,random,success,31,33319.74,409,31,0.782516,27,27,0,1.712959,4.771900
random_003,random,success,31,32648.52,393,31,0.787677,27,27,0,1.729581,4.688800
random_004,random,success,31,30537.29,379,31,0.804290,27,27,0,1.495200,4.449700
random_005,random,success,31,33308.13,402,31,0.786613,27,27,0,1.691011,4.485600
random_006,random,success,31,28824.26,410,31,0.816968,27,27,0,1.505174,3.478300
random_007,random,success,31,33045.68,391,31,0.784806,27,27,0,1.698315,4.663100
random_008,random,success,31,32517.16,390,31,0.790774,27,27,0,1.547022,4.754300
random_009,random,success,31,32921.03,396,31,0.790452,27,27,0,1.726648,4.661300
random_010,random,success,31,28293.42,411,31,0.816387,27,27,0,1.525978,3.367700
random_011,random,success,31,28293.42,410,31,0.819419,27,27,0,1.338181,3.502300
random_012,random,success,31,32781.42,390,31,0.787226,27,27,0,1.771541,4.608000
random_013,random,success,31,33044.90,393,31,0.785516,27,27,0,1.736093,4.504100
random_014,random,success,31,33316.39,405,31,0.780935,27,27,0,1.738044,4.668900
random_015,random,success,31,32385.03,390,31,0.789548,27,27,0,1.647881,4.510100
random_016,random,success,31,33307.61,403,31,0.785742,27,27,0,1.806115,4.683700
random_017,random,success,31,29084.90,378,31,0.808677,27,27,0,1.431670,3.800400
random_018,random,success,31,33444.90,402,31,0.780290,27,27,0,1.779641,4.974300
random_019,random,success,31,32519.48,389,31,0.789355,27,27,0,1.683019,4.634900
random_020,random,success,31,30669.42,379,31,0.802452,27,27,0,1.500933,3.805600
random_021,random,success,31,29745.55,382,31,0.805419,27,27,0,1.483344,3.737000
random_022,random,success,31,32255.23,391,31,0.789839,27,27,0,1.702052,4.791800
random_023,random,success,31,32781.42,391,31,0.787903,27,27,0,1.651537,4.686300
random_024,random,success,31,32390.71,392,31,0.792194,27,27,0,1.608374,4.381400
random_025,random,success,31,32918.45,394,31,0.787032,27,27,0,1.730244,4.586700
random_026,random,success,31,28012.65,319,31,0.826323,27,27,0,1.391211,3.343200
random_027,random,success,31,28427.35,409,31,0.816742,27,27,0,1.495044,3.327900
random_028,random,success,31,28557.42,411,31,0.812774,27,27,0,1.424704,3.286400
random_029,random,success,31,32651.61,389,31,0.787742,27,27,0,1.654059,4.452700
random_030,random,success,31,32517.16,390,31,0.788000,27,27,0,1.721119,4.510100
