variant,scenario,phase,repetition,exit_code,elapsed_seconds,parse_status,tokens_per_second,avg_ns,log
llvm,pp512,warmup,1,0,16.000547,OK,35.567172,14395297054.0,logs/bench_llvm_pp512_warmup_01.log
balanced,tg128,warmup,1,0,13.761829,OK,11.162954,11466498950.0,logs/bench_balanced_tg128_warmup_01.log
gcc,tg128,warmup,1,0,13.267174,OK,11.330116,11297324636.0,logs/bench_gcc_tg128_warmup_01.log
gcc,pp512,warmup,1,0,17.959598,OK,32.001426,15999286857.0,logs/bench_gcc_pp512_warmup_01.log
llvm,tg128,warmup,1,0,12.101221,OK,12.082521,10593815828.0,logs/bench_llvm_tg128_warmup_01.log
balanced,pp512,warmup,1,0,18.371526,OK,31.710438,16146103095.0,logs/bench_balanced_pp512_warmup_01.log
gcc,tg128,warmup,2,0,13.257741,OK,11.312317,11315099686.0,logs/bench_gcc_tg128_warmup_02.log
gcc,pp512,warmup,2,0,17.919504,OK,32.075605,15962286683.0,logs/bench_gcc_pp512_warmup_02.log
llvm,tg128,warmup,2,0,12.155038,OK,12.088617,10588473534.0,logs/bench_llvm_tg128_warmup_02.log
balanced,tg128,warmup,2,0,13.758727,OK,11.15151,11478265858.0,logs/bench_balanced_tg128_warmup_02.log
llvm,pp512,warmup,2,0,15.611492,OK,36.424533,14056460171.0,logs/bench_llvm_pp512_warmup_02.log
balanced,pp512,warmup,2,0,18.223184,OK,32.010469,15994767246.0,logs/bench_balanced_pp512_warmup_02.log
balanced,tg128,warmup,3,0,13.811917,OK,11.09067,11541232107.0,logs/bench_balanced_tg128_warmup_03.log
gcc,tg128,warmup,3,0,13.306752,OK,11.311852,11315565288.0,logs/bench_gcc_tg128_warmup_03.log
llvm,pp512,warmup,3,0,15.164119,OK,37.661531,13594774014.0,logs/bench_llvm_pp512_warmup_03.log
gcc,pp512,warmup,3,0,18.072239,OK,31.789539,16105926936.0,logs/bench_gcc_pp512_warmup_03.log
balanced,pp512,warmup,3,0,18.423531,OK,31.719111,16141688016.0,logs/bench_balanced_pp512_warmup_03.log
llvm,tg128,warmup,3,0,12.249092,OK,11.945689,10715162566.0,logs/bench_llvm_tg128_warmup_03.log
balanced,pp512,measure,1,0,18.403361,OK,31.766892,16117409457.0,logs/bench_balanced_pp512_measure_01.log
llvm,tg128,measure,1,0,12.205017,OK,11.971839,10691757537.0,logs/bench_llvm_tg128_measure_01.log
gcc,tg128,measure,1,0,13.253676,OK,11.271122,11356456012.0,logs/bench_gcc_tg128_measure_01.log
llvm,pp512,measure,1,0,15.656442,OK,36.423981,14056673386.0,logs/bench_llvm_pp512_measure_01.log
gcc,pp512,measure,1,0,17.971531,OK,32.057812,15971146297.0,logs/bench_gcc_pp512_measure_01.log
balanced,tg128,measure,1,0,13.810727,OK,11.085631,11546478716.0,logs/bench_balanced_tg128_measure_01.log
balanced,pp512,measure,2,0,18.424169,OK,31.703135,16149822582.0,logs/bench_balanced_pp512_measure_02.log
llvm,tg128,measure,2,0,12.296374,OK,11.940281,10720015617.0,logs/bench_llvm_tg128_measure_02.log
balanced,tg128,measure,2,0,13.752265,OK,11.119889,11510906599.0,logs/bench_balanced_tg128_measure_02.log
gcc,tg128,measure,2,0,13.260414,OK,11.291355,11336106099.0,logs/bench_gcc_tg128_measure_02.log
llvm,pp512,measure,2,0,15.564469,OK,36.627344,13978627716.0,logs/bench_llvm_pp512_measure_02.log
gcc,pp512,measure,2,0,17.962323,OK,32.085017,15957603984.0,logs/bench_gcc_pp512_measure_02.log
gcc,pp512,measure,3,0,17.917220,OK,32.112554,15943920124.0,logs/bench_gcc_pp512_measure_03.log
llvm,tg128,measure,3,0,12.198157,OK,12.014859,10653474812.0,logs/bench_llvm_tg128_measure_03.log
balanced,pp512,measure,3,0,18.272118,OK,31.956711,16021673768.0,logs/bench_balanced_pp512_measure_03.log
llvm,pp512,measure,3,0,15.363212,OK,37.022348,13829484729.0,logs/bench_llvm_pp512_measure_03.log
gcc,tg128,measure,3,0,13.356571,OK,11.221585,11406588686.0,logs/bench_gcc_tg128_measure_03.log
balanced,tg128,measure,3,0,13.806738,OK,11.098894,11532680441.0,logs/bench_balanced_tg128_measure_03.log
llvm,pp512,measure,4,0,15.462340,OK,36.827065,13902818315.0,logs/bench_llvm_pp512_measure_04.log
gcc,pp512,measure,4,0,18.022126,OK,31.857016,16071812830.0,logs/bench_gcc_pp512_measure_04.log
balanced,tg128,measure,4,0,13.757345,OK,11.131049,11499364937.0,logs/bench_balanced_tg128_measure_04.log
llvm,tg128,measure,4,0,12.154075,OK,12.01168,10656294120.0,logs/bench_llvm_tg128_measure_04.log
balanced,pp512,measure,4,0,18.373007,OK,31.730929,16135676410.0,logs/bench_balanced_pp512_measure_04.log
gcc,tg128,measure,4,0,13.308413,OK,11.28091,11346602839.0,logs/bench_gcc_tg128_measure_04.log
llvm,pp512,measure,5,0,15.162709,OK,37.629226,13606445268.0,logs/bench_llvm_pp512_measure_05.log
balanced,pp512,measure,5,0,18.321402,OK,31.945745,16027173448.0,logs/bench_balanced_pp512_measure_05.log
gcc,pp512,measure,5,0,17.983250,OK,31.985829,16007088631.0,logs/bench_gcc_pp512_measure_05.log
balanced,tg128,measure,5,0,13.808261,OK,11.128022,11502493009.0,logs/bench_balanced_tg128_measure_05.log
llvm,tg128,measure,5,0,12.204463,OK,12.041971,10629489306.0,logs/bench_llvm_tg128_measure_05.log
gcc,tg128,measure,5,0,13.353705,OK,11.27509,11352459107.0,logs/bench_gcc_tg128_measure_05.log
balanced,tg128,measure,6,0,13.803903,OK,11.102629,11528801177.0,logs/bench_balanced_tg128_measure_06.log
