variant,scenario,phase,repetition,exit_code,elapsed_seconds,parse_status,tokens_per_second,avg_ns,log
optimized,pp512,warmup,1,0,18.223325,OK,32.278637,15861884144.0,logs/bench_optimized_pp512_warmup_01.log
optimized,tg128,warmup,1,0,13.655422,OK,11.158383,11471196327.0,logs/bench_optimized_tg128_warmup_01.log
optimized,pp512,warmup,2,0,18.019668,OK,32.340461,15831561429.0,logs/bench_optimized_pp512_warmup_02.log
optimized,tg128,warmup,2,0,13.654621,OK,11.150157,11479658492.0,logs/bench_optimized_tg128_warmup_02.log
optimized,pp512,warmup,3,0,18.014330,OK,32.344919,15829379548.0,logs/bench_optimized_pp512_warmup_03.log
optimized,tg128,warmup,3,0,13.606901,OK,11.147998,11481882610.0,logs/bench_optimized_tg128_warmup_03.log
optimized,tg128,measure,1,0,13.609250,OK,11.179058,11449980802.0,logs/bench_optimized_tg128_measure_01.log
optimized,pp512,measure,1,0,18.023225,OK,32.328633,15837353639.0,logs/bench_optimized_pp512_measure_01.log
optimized,tg128,measure,2,0,13.754053,OK,11.110367,11520771162.0,logs/bench_optimized_tg128_measure_02.log
optimized,pp512,measure,2,0,18.062482,OK,32.18615,15907463057.0,logs/bench_optimized_pp512_measure_02.log
optimized,tg128,measure,3,0,13.706579,OK,11.134977,11495308946.0,logs/bench_optimized_tg128_measure_03.log
optimized,pp512,measure,3,0,18.067543,OK,32.270606,15865831639.0,logs/bench_optimized_pp512_measure_03.log
optimized,tg128,measure,4,0,13.712503,OK,11.107521,11523723281.0,logs/bench_optimized_tg128_measure_04.log
optimized,pp512,measure,4,0,18.066505,OK,32.246197,15877841339.0,logs/bench_optimized_pp512_measure_04.log
optimized,tg128,measure,5,0,13.696823,OK,11.105448,11525874363.0,logs/bench_optimized_tg128_measure_05.log
optimized,pp512,measure,5,0,17.969740,OK,32.406723,15799190883.0,logs/bench_optimized_pp512_measure_05.log
optimized,tg128,measure,6,0,13.657647,OK,11.151893,11477872287.0,logs/bench_optimized_tg128_measure_06.log
optimized,pp512,measure,6,0,18.075165,OK,32.226216,15887685889.0,logs/bench_optimized_pp512_measure_06.log
optimized,pp512,measure,7,0,18.023302,OK,32.403642,15800693067.0,logs/bench_optimized_pp512_measure_07.log
optimized,tg128,measure,7,0,13.711989,OK,11.119819,11510978949.0,logs/bench_optimized_tg128_measure_07.log
optimized,tg128,measure,8,0,13.659741,OK,11.143648,11486364177.0,logs/bench_optimized_tg128_measure_08.log
optimized,pp512,measure,8,0,18.111868,OK,32.178417,15911285993.0,logs/bench_optimized_pp512_measure_08.log
optimized,tg128,measure,9,0,13.760105,OK,11.109483,11521688018.0,logs/bench_optimized_tg128_measure_09.log
optimized,pp512,measure,9,0,18.123139,OK,32.236553,15882591198.0,logs/bench_optimized_pp512_measure_09.log
optimized,tg128,measure,10,0,13.756582,OK,11.113682,11517334744.0,logs/bench_optimized_tg128_measure_10.log
optimized,pp512,measure,10,0,18.124798,OK,32.233496,15884097554.0,logs/bench_optimized_pp512_measure_10.log
optimized,pp512,measure,11,0,17.972001,OK,32.469454,15768666994.0,logs/bench_optimized_pp512_measure_11.log
optimized,tg128,measure,11,0,13.700328,OK,11.115001,11515968164.0,logs/bench_optimized_tg128_measure_11.log
optimized,tg128,measure,12,0,13.757017,OK,11.107737,11523499400.0,logs/bench_optimized_tg128_measure_12.log
optimized,pp512,measure,12,0,18.166473,OK,32.156623,15922070156.0,logs/bench_optimized_pp512_measure_12.log
optimized,tg128,measure,13,0,13.751161,OK,11.072603,11560064342.0,logs/bench_optimized_tg128_measure_13.log
optimized,pp512,measure,13,0,18.017869,OK,32.350137,15826826407.0,logs/bench_optimized_pp512_measure_13.log
optimized,pp512,measure,14,0,18.022170,OK,32.361572,15821234130.0,logs/bench_optimized_pp512_measure_14.log
optimized,tg128,measure,14,0,13.711256,OK,11.11788,11512986044.0,logs/bench_optimized_tg128_measure_14.log
optimized,pp512,measure,15,0,18.018236,OK,32.433604,15786096199.0,logs/bench_optimized_pp512_measure_15.log
optimized,tg128,measure,15,0,13.761482,OK,11.065508,11567476583.0,logs/bench_optimized_tg128_measure_15.log
optimized,pp512,measure,16,0,18.069304,OK,32.302671,15850082602.0,logs/bench_optimized_pp512_measure_16.log
optimized,tg128,measure,16,0,13.711254,OK,11.13691,11493313242.0,logs/bench_optimized_tg128_measure_16.log
optimized,pp512,measure,17,0,18.019826,OK,32.461816,15772376851.0,logs/bench_optimized_pp512_measure_17.log
optimized,tg128,measure,17,0,13.658290,OK,11.12302,11507666593.0,logs/bench_optimized_tg128_measure_17.log
optimized,pp512,measure,18,0,18.015630,OK,32.339209,15832174688.0,logs/bench_optimized_pp512_measure_18.log
optimized,tg128,measure,18,0,13.705760,OK,11.113456,11517569416.0,logs/bench_optimized_tg128_measure_18.log
optimized,pp512,measure,19,0,18.022823,OK,32.395811,15804512613.0,logs/bench_optimized_pp512_measure_19.log
optimized,tg128,measure,19,0,13.710113,OK,11.122691,11508006829.0,logs/bench_optimized_tg128_measure_19.log
optimized,pp512,measure,20,0,17.952957,OK,32.585589,15712467245.0,logs/bench_optimized_pp512_measure_20.log
optimized,tg128,measure,20,0,13.700601,OK,11.133346,11496993196.0,logs/bench_optimized_tg128_measure_20.log
