variant,algorithm,block_size,phase,repetition,status,bytes_per_second,elapsed_seconds
ollvm-full,ChaCha20-Poly1305,16384,warmup,1,OK,83955587.88,1.1179708740000933
balanced,SHA-512,256,warmup,1,OK,208178432.0,1.0174706390002939
gcc,SHA-512,64,warmup,1,OK,236900589.9,1.0176824139998644
optimized,SHA-512,256,warmup,1,OK,111484638.38,1.0171489699996528
llvm,SHA-512,16,warmup,1,OK,63303904.0,1.0174982220000857
ollvm-full,AES-128-CBC,16,warmup,1,OK,8741424.0,1.1183032149997416
optimized,ChaCha20-Poly1305,8192,warmup,1,OK,384991232.0,1.0181339719997595
gcc,SHA-512,256,warmup,1,OK,403057152.0,1.0175903009999274
balanced,SHA-512,16384,warmup,1,OK,630456320.0,1.0177105789998677
optimized,ChaCha20-Poly1305,256,warmup,1,OK,330377472.0,1.0172339689997898
llvm,AES-128-CBC,256,warmup,1,OK,412498944.0,1.0165916480000305
optimized,SHA-512,8192,warmup,1,OK,235683840.0,1.0165813069997967
gcc,SHA-512,1024,warmup,1,OK,572663808.0,1.0170362429998931
optimized,ChaCha20-Poly1305,64,warmup,1,OK,226011200.0,1.0173206459999165
optimized,ChaCha20-Poly1305,1024,warmup,1,OK,371272404.04,1.018064642000354
ollvm-full,ChaCha20-Poly1305,64,warmup,1,OK,27398784.0,1.1170564029998786
optimized,AES-128-CBC,16384,warmup,1,OK,232243200.0,1.0173674420002499
llvm,ChaCha20-Poly1305,16,warmup,1,OK,351356048.0,1.0168889060000765
balanced,AES-128-CBC,16384,warmup,1,OK,372948992.0,1.016674891999628
balanced,AES-128-CBC,8192,warmup,1,OK,371564544.0,1.0170701259999078
llvm,SHA-512,256,warmup,1,OK,404081152.0,1.0168197060002058
llvm,ChaCha20-Poly1305,16384,warmup,1,OK,517651652.53,1.016890339999918
gcc,ChaCha20-Poly1305,64,warmup,1,OK,451787456.0,1.016851984999903
llvm,SHA-512,16384,warmup,1,OK,658145280.0,1.0171814589998576
llvm,ChaCha20-Poly1305,8192,warmup,1,OK,515599515.15,1.017444715000238
llvm,SHA-512,8192,warmup,1,OK,644235264.0,1.0177636550001807
gcc,AES-128-CBC,8192,warmup,1,OK,384131072.0,1.0174420819998886
gcc,AES-128-CBC,16,warmup,1,OK,360301769.7,1.0171053130002292
ollvm-full,AES-128-CBC,64,warmup,1,OK,22068040.4,1.1176942409997537
balanced,SHA-512,16,warmup,1,OK,19752256.0,1.0682294570001432
ollvm-full,ChaCha20-Poly1305,1024,warmup,1,OK,74836992.0,1.1181878750003307
optimized,SHA-512,64,warmup,1,OK,50294784.0,1.017661556999883
gcc,AES-128-CBC,256,warmup,1,OK,378050715.15,1.0178654689998439
ollvm-full,ChaCha20-Poly1305,8192,warmup,1,OK,82313216.0,1.1180915360000654
ollvm-full,AES-128-CBC,1024,warmup,1,OK,41026197.98,1.117962309000177
llvm,AES-128-CBC,64,warmup,1,OK,403693056.0,1.0176058649999504
gcc,ChaCha20-Poly1305,1024,warmup,1,OK,507536808.08,1.0175321040001108
ollvm-full,SHA-512,16384,warmup,1,OK,166346752.0,1.1172122709999712
gcc,SHA-512,16384,warmup,1,OK,668041216.0,1.0173953759999677
balanced,AES-128-CBC,1024,warmup,1,OK,357145600.0,1.0171144070000082
llvm,ChaCha20-Poly1305,64,warmup,1,OK,483435701.01,1.0171061539999755
