variant,algorithm,block_size,ok_repetitions,planned,median_bytes_per_second
gcc,AES-128-CBC,16,20,20,356933776.0
gcc,AES-128-CBC,64,20,20,377083328.0
gcc,AES-128-CBC,256,20,20,381966848.0
gcc,AES-128-CBC,1024,20,20,383150592.0
gcc,AES-128-CBC,8192,20,20,383610880.0
gcc,AES-128-CBC,16384,20,20,384057344.0
gcc,ChaCha20-Poly1305,16,20,20,341609411.555
gcc,ChaCha20-Poly1305,64,20,20,450699968.0
gcc,ChaCha20-Poly1305,256,20,20,481547454.06
gcc,ChaCha20-Poly1305,1024,20,20,502391808.0
gcc,ChaCha20-Poly1305,8192,20,20,508067840.0
gcc,ChaCha20-Poly1305,16384,20,20,507035648.0
gcc,SHA-512,16,20,20,58515864.0
gcc,SHA-512,64,20,20,234027872.0
gcc,SHA-512,256,20,20,401355136.0
gcc,SHA-512,1024,20,20,586562285.9
gcc,SHA-512,8192,20,20,679084032.0
gcc,SHA-512,16384,20,20,685481984.0
llvm,AES-128-CBC,16,20,20,380039760.0
llvm,AES-128-CBC,64,20,20,404830400.0
llvm,AES-128-CBC,256,20,20,412030080.0
llvm,AES-128-CBC,1024,20,20,413001216.0
llvm,AES-128-CBC,8192,20,20,414052352.0
llvm,AES-128-CBC,16384,20,20,413573120.0
llvm,ChaCha20-Poly1305,16,20,20,351559256.0
llvm,ChaCha20-Poly1305,64,20,20,480488256.0
llvm,ChaCha20-Poly1305,256,20,20,503594240.0
llvm,ChaCha20-Poly1305,1024,20,20,509281280.0
llvm,ChaCha20-Poly1305,8192,20,20,513474560.0
llvm,ChaCha20-Poly1305,16384,20,20,512876544.0
llvm,SHA-512,16,20,20,62640472.0
llvm,SHA-512,64,20,20,250976969.695
llvm,SHA-512,256,20,20,399938309.16999996
llvm,SHA-512,1024,20,20,568354304.0
llvm,SHA-512,8192,20,20,642293760.0
llvm,SHA-512,16384,20,20,655753216.0
balanced,AES-128-CBC,16,20,20,99462586.18
balanced,AES-128-CBC,64,20,20,219780160.0
balanced,AES-128-CBC,256,20,20,311978368.0
balanced,AES-128-CBC,1024,20,20,355913728.0
balanced,AES-128-CBC,8192,20,20,372121600.0
balanced,AES-128-CBC,16384,20,20,372957184.0
balanced,ChaCha20-Poly1305,16,20,20,71733048.0
balanced,ChaCha20-Poly1305,64,20,20,206780096.0
balanced,ChaCha20-Poly1305,256,20,20,325794944.0
balanced,ChaCha20-Poly1305,1024,20,20,374883328.0
balanced,ChaCha20-Poly1305,8192,20,20,400957440.0
balanced,ChaCha20-Poly1305,16384,20,20,403382272.0
balanced,SHA-512,16,20,20,19775120.0
balanced,SHA-512,64,20,20,79207776.0
balanced,SHA-512,256,20,20,209345664.0
balanced,SHA-512,1024,20,20,413206528.0
balanced,SHA-512,8192,20,20,597020672.0
balanced,SHA-512,16384,20,20,626466816.0
optimized,AES-128-CBC,16,20,20,88490120.0
optimized,AES-128-CBC,64,20,20,162974912.0
optimized,AES-128-CBC,256,20,20,211412224.0
optimized,AES-128-CBC,1024,20,20,228836352.0
optimized,AES-128-CBC,8192,20,20,241070080.0
optimized,AES-128-CBC,16384,20,20,239372225.94
optimized,ChaCha20-Poly1305,16,20,20,79188592.0
optimized,ChaCha20-Poly1305,64,20,20,224750592.0
optimized,ChaCha20-Poly1305,256,20,20,329347968.0
optimized,ChaCha20-Poly1305,1024,20,20,369053696.0
optimized,ChaCha20-Poly1305,8192,20,20,387031040.0
optimized,ChaCha20-Poly1305,16384,20,20,387047424.0
optimized,SHA-512,16,20,20,12572688.0
optimized,SHA-512,64,20,20,50220992.0
optimized,SHA-512,256,20,20,110505728.0
optimized,SHA-512,1024,20,20,186809856.0
optimized,SHA-512,8192,20,20,237879296.0
optimized,SHA-512,16384,20,20,241475584.0
ollvm-full,AES-128-CBC,16,20,20,8650880.0
ollvm-full,AES-128-CBC,64,20,20,21621631.675
ollvm-full,AES-128-CBC,256,20,20,34557312.0
ollvm-full,AES-128-CBC,1024,20,20,41501696.0
ollvm-full,AES-128-CBC,8192,20,20,43755168.325
ollvm-full,AES-128-CBC,16384,20,20,43646976.0
ollvm-full,ChaCha20-Poly1305,16,20,20,8715742.625
ollvm-full,ChaCha20-Poly1305,64,20,20,28211238.465
ollvm-full,ChaCha20-Poly1305,256,20,20,55826816.0
ollvm-full,ChaCha20-Poly1305,1024,20,20,74507264.0
ollvm-full,ChaCha20-Poly1305,8192,20,20,82575360.0
ollvm-full,ChaCha20-Poly1305,16384,20,20,83146814.06
ollvm-full,SHA-512,16,20,20,2296328.0
ollvm-full,SHA-512,64,20,20,9200832.0
ollvm-full,SHA-512,256,20,20,29768320.0
ollvm-full,SHA-512,1024,20,20,79496192.0
ollvm-full,SHA-512,8192,20,20,155996160.0
ollvm-full,SHA-512,16384,20,20,170262528.0
