"variant","algorithm","block_size_bytes","measurements","arithmetic_mean_MB_per_second","source_file"
"gcc","AES-128-CBC","16384","20","384.66308","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","16384","20","413.991574","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","16384","20","43.821954","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","16384","20","238.746829","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","ChaCha20-Poly1305","16384","20","506.854936","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","ChaCha20-Poly1305","16384","20","512.651868","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","ChaCha20-Poly1305","16384","20","83.239624","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","ChaCha20-Poly1305","16384","20","387.757099","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","SHA-512","16384","20","685.029066","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","SHA-512","16384","20","653.015019","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","SHA-512","16384","20","169.395814","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","SHA-512","16384","20","241.892606","formal_evaluation/openssl/raw/speed_repetitions.csv"
