"variant","algorithm","block_size_bytes","measurements","arithmetic_mean_MB_per_second","source_file"
"gcc","AES-128-CBC","16","20","357.156478","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","16","20","376.804407","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","16","20","8.683422","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","16","20","87.770337","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","AES-128-CBC","64","20","377.505523","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","64","20","404.902432","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","64","20","21.620175","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","64","20","162.971394","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","AES-128-CBC","256","20","382.041474","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","256","20","412.541431","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","256","20","34.69633","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","256","20","212.035929","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","AES-128-CBC","1024","20","383.447276","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","1024","20","413.320491","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","1024","20","41.385011","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","1024","20","230.002019","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","AES-128-CBC","8192","20","383.987741","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","8192","20","413.994416","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","8192","20","43.723377","formal_evaluation/openssl/raw/speed_repetitions.csv"
"optimized","AES-128-CBC","8192","20","239.872414","formal_evaluation/openssl/raw/speed_repetitions.csv"
"gcc","AES-128-CBC","16384","20","384.66308","formal_evaluation/openssl/raw/speed_repetitions.csv"
"llvm","AES-128-CBC","16384","20","413.991574","formal_evaluation/openssl/raw/speed_repetitions.csv"
"ollvm-full","AES-128-CBC","16384","20","43.821954","formal_evaluation/openssl/raw/speed_repetitions.csv"
